id,longitude,latitude,date,time
1,151.25066,-23.840897,12/28/2021,0:01
2,153.01736,-27.466467,12/27/2021,0:00
3,151.25066,-23.840897,12/27/2021,12:00
4,146.81145,-19.267107,12/27/2021,12:30
5,145.77582,-16.921663,12/27/2021,0:00
6,145.46059,-16.481018,12/27/2021,12:00
7,145.46066,-16.484583,12/27/2021,12:00
8,153.01736,-27.466467,12/26/2021,0:00
9,152.36717,-24.8536,12/26/2021,10:00
10,150.51324,-23.376163,12/26/2021,19:00
11,150.52263,-23.355936,12/26/2021,9:40
12,150.5224,-23.353285,12/26/2021,9:20
13,150.74924,-23.131248,12/26/2021,7:30
14,146.76184,-19.298832,12/26/2021,9:30
15,139.49103,-20.725843,12/26/2021,14:15
16,145.77582,-16.921663,12/26/2021,19:30
17,145.34897,-16.474089,12/26/2021,12:00
18,145.46313,-16.48103,12/26/2021,18:00
19,145.46288,-16.481361,12/26/2021,12:15
20,145.46066,-16.484583,12/26/2021,6:00
21,145.46391,-16.482735,12/26/2021,6:15
22,153.01736,-27.466467,12/25/2021,0:00
23,146.85463,-19.157438,12/25/2021,12:00
24,146.0282,-17.52697,12/25/2021,11:00
25,145.77582,-16.921663,12/25/2021,0:00
26,145.78023,-16.922958,12/25/2021,12:00
27,145.74802,-16.911547,12/25/2021,0:01
28,145.46329,-16.481236,12/25/2021,17:30
29,145.46574,-16.520752,12/25/2021,11:45
30,153.01736,-27.466467,12/24/2021,0:00
31,153.03462,-27.422121,12/24/2021,9:00
32,148.78862,-26.57121,12/24/2021,12:30
33,148.78862,-26.57121,12/24/2021,12:30
34,148.78839,-26.574158,12/24/2021,10:30
35,151.25296,-23.84102,12/24/2021,11:15
36,150.74893,-23.12976,12/24/2021,12:40
37,150.51321,-24.402231,12/24/2021,11:00
38,150.51357,-24.402857,12/24/2021,11:00
39,146.82648,-19.251038,12/24/2021,19:30
40,146.82648,-19.251038,12/24/2021,19:30
41,146.82645,-19.250738,12/24/2021,18:30
42,146.82645,-19.250738,12/24/2021,18:30
43,146.72473,-19.31481,12/24/2021,6:30
44,146.85463,-19.157438,12/24/2021,16:00
45,145.77582,-16.921663,12/24/2021,19:30
46,145.73116,-16.900246,12/24/2021,17:00
47,145.46313,-16.48103,12/24/2021,18:00
48,145.4611,-16.484722,12/24/2021,16:00
49,145.46066,-16.484583,12/24/2021,7:00
50,145.67082,-16.749758,12/24/2021,10:45
51,145.59291,-17.352177,12/24/2021,13:30
52,153.01736,-27.466467,12/23/2021,23:00
53,153.0261,-27.44926,12/23/2021,7:00
54,153.0261,-27.44926,12/23/2021,7:00
55,153.0261,-27.44926,12/23/2021,7:00
56,151.60788,-25.624348,12/23/2021,18:00
57,151.26048,-23.848131,12/23/2021,9:30
58,151.25296,-23.84102,12/23/2021,14:30
59,146.82648,-19.251038,12/23/2021,19:55
60,146.82024,-19.260494,12/23/2021,19:00
61,146.82645,-19.250738,12/23/2021,17:00
62,146.82645,-19.250738,12/23/2021,17:00
63,146.82611,-19.250685,12/23/2021,17:30
64,146.82611,-19.250685,12/23/2021,17:30
65,146.82205,-19.314781,12/23/2021,18:20
66,146.80612,-19.307661,12/23/2021,11:00
67,146.75883,-19.275648,12/23/2021,11:00
68,145.78079,-16.922396,12/23/2021,20:00
69,145.78044,-16.92176,12/23/2021,8:00
70,145.77559,-16.92359,12/23/2021,6:30
71,145.76988,-16.917582,12/23/2021,0:01
72,145.46396,-16.068085,12/23/2021,13:00
73,145.75317,-16.938608,12/23/2021,7:00
74,145.46652,-16.484306,12/23/2021,17:00
75,145.46288,-16.481361,12/23/2021,18:45
76,153.0261,-27.44926,12/22/2021,7:00
77,153.0261,-27.44926,12/22/2021,7:00
78,153.0261,-27.44926,12/22/2021,7:00
79,153.15651,-27.694563,12/22/2021,10:00
80,153.43097,-28.001793,12/22/2021,13:00
81,150.51889,-23.35666,12/22/2021,13:45
82,150.51906,-23.332088,12/22/2021,12:30
83,146.82645,-19.250738,12/22/2021,11:00
84,146.82645,-19.250738,12/22/2021,11:00
85,146.81152,-19.26708,12/22/2021,20:45
86,146.81152,-19.26708,12/22/2021,20:15
87,146.81145,-19.267107,12/22/2021,18:20
88,146.81558,-19.260384,12/22/2021,12:30
89,146.73692,-19.317926,12/22/2021,13:45
90,145.78076,-16.921354,12/22/2021,8:00
91,145.74323,-16.900457,12/22/2021,16:15
92,145.77538,-16.923895,12/22/2021,18:30
93,145.78088,-16.922058,12/22/2021,17:45
94,145.76988,-16.917582,12/22/2021,0:01
95,145.6333,-16.819557,12/22/2021,10:30
96,145.34897,-16.474089,12/22/2021,11:30
97,145.46278,-16.480524,12/22/2021,17:00
98,145.70963,-16.881565,12/22/2021,17:00
99,145.70079,-16.787735,12/22/2021,11:45
100,145.63878,-16.818474,12/22/2021,15:30
101,145.6337,-16.819042,12/22/2021,13:00
102,145.63571,-16.819113,12/22/2021,13:50
103,153.0261,-27.44926,12/21/2021,6:30
104,153.0261,-27.44926,12/21/2021,6:30
105,153.0261,-27.44926,12/21/2021,6:30
106,152.96164,-27.080624,12/21/2021,8:15
107,150.5064,-23.397144,12/21/2021,16:30
108,149.1614,-21.128664,12/21/2021,11:55
109,146.82205,-19.314781,12/21/2021,18:20
110,146.80464,-19.272963,12/21/2021,12:20
111,146.76308,-19.299238,12/21/2021,15:00
112,146.76184,-19.298832,12/21/2021,15:30
113,146.86018,-19.11786,12/21/2021,9:05
114,145.75174,-16.93211,12/21/2021,5:45
115,145.73737,-16.945538,12/21/2021,9:30
116,145.76988,-16.917582,12/21/2021,18:30
117,145.46278,-16.480524,12/21/2021,18:00
118,145.46278,-16.480524,12/21/2021,18:00
119,153.0261,-27.44926,12/20/2021,12:30
120,153.0261,-27.44926,12/20/2021,12:30
121,153.0261,-27.44926,12/20/2021,12:30
122,153.06471,-27.399143,12/20/2021,8:15
123,153.09488,-27.366432,12/20/2021,8:00
124,153.02367,-27.389643,12/20/2021,22:00
125,152.99156,-27.485071,12/20/2021,9:22
126,153.00146,-27.485558,12/20/2021,9:10
127,150.31143,-28.528782,12/20/2021,18:52
128,153.09149,-25.902702,12/20/2021,15:00
129,152.34966,-24.871986,12/20/2021,14:40
130,152.34966,-24.871986,12/20/2021,14:40
131,152.34947,-24.871605,12/20/2021,9:30
132,152.34947,-24.871605,12/20/2021,9:30
133,151.25601,-23.84393,12/20/2021,18:30
134,151.2523,-23.83813,12/20/2021,17:25
135,151.25325,-23.832342,12/20/2021,16:30
136,146.81499,-19.250294,12/20/2021,11:30
137,146.82645,-19.250738,12/20/2021,14:00
138,146.82645,-19.250738,12/20/2021,14:00
139,146.81152,-19.26708,12/20/2021,19:00
140,146.81558,-19.260384,12/20/2021,11:00
141,146.85587,-19.157482,12/20/2021,13:20
142,146.8482,-19.160816,12/20/2021,15:15
143,146.86137,-19.11737,12/20/2021,11:30
144,146.86166,-19.117363,12/20/2021,18:30
145,145.73824,-16.943176,12/20/2021,17:45
146,145.75974,-16.908073,12/20/2021,9:30
147,145.46547,-16.501669,12/20/2021,0:00
148,145.46211,-16.48156,12/20/2021,17:25
149,145.46901,-17.267754,12/20/2021,13:45
150,153.02654,-27.46941,12/19/2021,17:35
151,153.02994,-27.46618,12/19/2021,11:35
152,153.03104,-27.46262,12/19/2021,0:14
153,153.04306,-27.419722,12/19/2021,10:24
154,153.02367,-27.389643,12/19/2021,17:30
155,152.97911,-27.4092,12/19/2021,10:55
156,152.97949,-27.40922,12/19/2021,10:35
157,152.98051,-27.409163,12/19/2021,11:32
158,152.9784,-27.40878,12/19/2021,10:10
159,152.99344,-27.444511,12/19/2021,8:10
160,152.93767,-27.549467,12/19/2021,10:00
161,153.01595,-27.474958,12/19/2021,12:54
162,153.03903,-27.48477,12/19/2021,11:20
163,153.03143,-27.514166,12/19/2021,7:15
164,153.02394,-27.577314,12/19/2021,11:10
165,153.06519,-27.559843,12/19/2021,12:30
166,153.14027,-27.669277,12/19/2021,7:25
167,153.05193,-27.499039,12/19/2021,10:15
168,153.43408,-28.040169,12/19/2021,9:30
169,153.14307,-27.075514,12/19/2021,11:00
170,152.36374,-26.587864,12/19/2021,0:00
171,151.24289,-23.869585,12/19/2021,9:15
172,149.17816,-21.138624,12/19/2021,8:15
173,149.17749,-21.139843,12/19/2021,9:20
174,149.1786,-21.138144,12/19/2021,9:30
175,149.17897,-21.13723,12/19/2021,9:40
176,149.1614,-21.128664,12/19/2021,10:40
177,149.17918,-21.137821,12/19/2021,9:00
178,146.81499,-19.250294,12/19/2021,11:30
179,146.82645,-19.250738,12/19/2021,16:00
180,146.82645,-19.250738,12/19/2021,16:00
181,146.82034,-19.257307,12/19/2021,0:00
182,145.77582,-16.921663,12/19/2021,22:00
183,145.76013,-16.907965,12/19/2021,18:45
184,145.78098,-16.918522,12/19/2021,16:00
185,145.77429,-16.923641,12/19/2021,18:54
186,145.7596,-16.907066,12/19/2021,13:10
187,145.46547,-16.501669,12/19/2021,0:00
188,153.03064,-27.47753,12/18/2021,14:49
189,153.02516,-27.469305,12/18/2021,12:45
190,153.03033,-27.469057,12/18/2021,12:00
191,153.02562,-27.470531,12/18/2021,13:00
192,153.03038,-27.466717,12/18/2021,22:00
193,153.028,-27.47268,12/18/2021,12:59
194,153.03616,-27.462435,12/18/2021,13:00
195,153.03734,-27.462673,12/18/2021,15:00
196,153.02608,-27.468304,12/18/2021,15:25
197,153.03838,-27.463633,12/18/2021,11:48
198,153.03047,-27.465303,12/18/2021,16:00
199,153.0488,-27.454222,12/18/2021,9:00
200,153.03986,-27.455223,12/18/2021,0:00
201,153.03477,-27.457943,12/18/2021,22:30
202,153.03477,-27.457943,12/18/2021,22:30
203,153.033,-27.457079,12/18/2021,21:50
204,153.033,-27.457079,12/18/2021,21:50
205,153.03944,-27.45362,12/18/2021,11:00
206,153.03944,-27.45362,12/18/2021,11:00
207,153.02658,-27.427113,12/18/2021,11:40
208,153.03287,-27.429401,12/18/2021,8:15
209,153.05829,-27.340313,12/18/2021,15:40
210,153.0082,-27.43721,12/18/2021,11:30
211,153.00755,-27.437618,12/18/2021,10:40
212,152.94939,-27.415333,12/18/2021,15:04
213,153.00821,-27.502918,12/18/2021,0:00
214,152.93825,-27.54988,12/18/2021,10:55
215,153.01186,-27.481504,12/18/2021,8:20
216,153.01646,-27.47543,12/18/2021,19:46
217,153.01231,-27.481268,12/18/2021,9:00
218,153.03653,-27.487274,12/18/2021,18:43
219,153.03658,-27.56824,12/18/2021,8:30
220,153.02693,-27.589272,12/18/2021,13:00
221,153.03357,-27.617855,12/18/2021,9:40
222,153.03995,-27.663662,12/18/2021,9:50
223,153.08223,-27.562614,12/18/2021,11:00
224,153.08223,-27.562614,12/18/2021,11:00
225,153.08109,-27.562565,12/18/2021,11:05
226,152.9834,-27.737131,12/18/2021,11:05
227,153.09944,-27.471172,12/18/2021,7:30
228,153.05397,-27.45089,12/18/2021,17:35
229,153.44078,-27.40356,12/18/2021,16:30
230,153.44078,-27.40356,12/18/2021,16:30
231,152.36374,-26.587864,12/18/2021,0:00
232,153.13417,-26.80499,12/18/2021,9:00
233,153.13411,-26.803734,12/18/2021,13:19
234,153.13448,-26.805067,12/18/2021,12:30
235,152.3531,-24.86517,12/18/2021,21:45
236,152.35147,-24.865921,12/18/2021,23:20
237,149.18857,-21.126799,12/18/2021,9:52
238,146.82173,-19.258762,12/18/2021,18:30
239,146.82074,-19.259512,12/18/2021,17:00
240,146.80644,-19.24097,12/18/2021,15:20
241,146.81499,-19.250294,12/18/2021,18:35
